row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
509	0	0		0.00	white	43.0	213	1/5	392275	SOUTH_PARK_HIGH_SCHOOL	630.0	560.0		no	6.9137346122598500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1190		1190	0.00	1.00
514	0	0		0.00	white	255.0	634	2/5	391033	DOWNINGTOWN_SENIOR_HIGH	660.0	530.0		no	225.6331378143130000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1190		1190	0.00	1.00
520	1	0		0.00	white	29.0	75	2/5	392149	CHRISTOPHER_DOCK_MENNON	540.0	530.0		no	248.1952846829600000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1070		1070	0.00	1.00
525	0	1	U1	0.00	white	22.0	556	1/10	390325	LIBERTY_HIGH_SCHOOL	590.0	700.0		yes	240.1140982073580000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1290		1290	0.00	1.00
528	0	0		0.00	white	118.0	390	2/5	332210	GUILDERLAND_CENTRAL_HIG	660.0	680.0	29.0	no	350.1488145983430000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1340	1300	1340	0.00	0.00
529	0	1	HT	1.00	Asian	1.0	283	1/10	390065	WISSAHICKON_HIGH_SCHOOL	800.0	800.0		yes	248.1952846829600000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1600		1600	0.00	1.00
532	1	0		1.00	white				362235	LINCOLN_HIGH_SCHOOL	580.0	520.0		no	248.0733471290580000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
534	0	0		1.00	white	161.0	397	2/5	392270	BETHEL_PARK_SR_HIGH_SCH	470.0	580.0	23.0	no	9.6076641317545200	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1050	1070	1070	0.00	1.00
539	0	1	U1	0.00	white	16.0	112	1/5	395325	SOUTH_WILLIAMSPORT_JR_S	710.0	570.0		no	163.2580342847810000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1280		1280	0.00	1.00
540	0	0		0.00	white				334920	ROSLYN_HIGH_SCHOOL	560.0	510.0		no	331.6410721096870000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1070		1070	0.00	0.00
