row_number	paiddeposit	scholarship_yes_no	Type_of_scholarship_offered	Female	Race	HS_rank	HS_class_size	HS_Quintile	HS_CODE	HS_NAME	SAT_math	SAT_verbal	ACT	Honors_college_eligible	distancefromPitt	state	Number_of_family_alumni	father_alumni	grand_alumni	mother_alumni	sibling_alumni	step_parent_alumni	other_family_alumni	SAT_composite	ACT_as_SAT	Max_Test_Score	Training	from_PA
749	0	0		1.00	white	165.0	395	3/5	334205	NORTHPORT_SENIOR_HIGH_S	540.0	540.0		no	348.8551424086270000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1080		1080	0.00	0.00
750	0	0		0.00	Asian	68.0	571	1/5	142301	HOFFMAN_ESTATES_HIGH_SC			24.0	no	440.8483744219070000	IL	0	0.00	0.00	0.00	0.00	0.00	0.00		1110	1110	0.00	0.00
755	1	0		0.00	white	225.0	906	2/5	392985	COUNCIL_ROCK_HIGH_SCHOO	700.0	630.0		no	264.5120606503370000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1330		1330	0.00	1.00
758	1	0		1.00	black	5.0	25	1/5	390622	CHRISTIAN_ACADEMY	450.0	520.0		no	250.2227817256480000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	970		970	0.00	1.00
759	0	1	U4	0.00	white	23.0	375	1/10	361110	SAINT_XAVIER_HIGH_SCHOO	680.0	600.0	27.0	yes	256.9697563655390000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1280	1220	1280	0.00	0.00
762	0	0		0.00	white	118.0	458	2/5	392140	HEMPFIELD_HIGH_SCHOOL	580.0	530.0		no	185.2361846272230000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	1.00
763	1	0		0.00	white	90.0	195	3/5	395162	BISHOP_SHANAHAN_HIGH_SC	540.0	510.0		no	225.6331378143130000	PA	1	0.00	1.00	0.00	0.00	0.00	0.00	1050		1050	0.00	1.00
764	0	0		1.00	white	9.0	140	1/10	394088	POTTSTOWN_SENIOR_HIGH_S	490.0	520.0		no	227.8990995902790000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1010		1010	0.00	1.00
765	0	0		0.00	white	74.0	286	2/5	390530	CANON_MCMILLAN_HIGH_SCH	530.0	510.0		no	15.9022359836104000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1040		1040	0.00	1.00
771	1	0		1.00	white	70.0	358	1/5	393772	PLUM_SENIOR_HIGH_SCHOOL	650.0	510.0		no	11.8104317637169000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1160		1160	0.00	1.00
772	0	1	U6	1.00	Hispanic				OSHIGH	OUT_OF_STATE_HIGH_SCHOO	700.0	640.0		yes	1149.3740213536800000	TX	0	0.00	0.00	0.00	0.00	0.00	0.00	1340		1340	0.00	0.00
777	0	0		0.00	not_indicated				470353	LAKE_BRADDOCK_SECONDARY	580.0	620.0		no	182.6737626050500000	VA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	0.00
782	0	1	HT	1.00	white				141044	MOTHER_MCAULEY_HIGH_SCH	670.0	700.0	32.0	yes	410.8516557245170000	IL	0	0.00	0.00	0.00	0.00	0.00	0.00	1370	1420	1420	0.00	0.00
784	1	0		1.00	white	66.0	304	2/5	391670	PENN_TRAFFORD_HIGH_SCHO	580.0	470.0		no	14.8914249117309000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1050		1050	0.00	1.00
786	0	0		1.00	white	45.0	157	2/5	443371	G_W_CARVER_HIGH_SCHOOL	560.0	530.0		no	251.3370017111050000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	1.00
787	0	1	U4	1.00	white	20.0	327	1/10	470765	LEE_DAVIS_HIGH_SCHOOL	540.0	650.0		yes	240.1177727848780000	VA	0	0.00	0.00	0.00	0.00	0.00	0.00	1190		1190	0.00	0.00
791	0	1	U4	1.00	white	1.0	242	1/10	360875	CHARDON_HIGH_SCHOOL	640.0	510.0	26.0	yes	101.7559880075330000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1150	1190	1190	0.00	0.00
792	1	0		0.00	white	58.0	403	1/5	393630	BALDWIN_HIGH_SCHOOL	550.0	550.0		no	4.8050255581138300	PA	1	1.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
793	0	0		1.00	white	53.0	311	1/5	391646	CENTRAL_DAUPHIN_EAST_SR	540.0	630.0		no	167.0392271184300000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	1.00
794	0	1	HT	1.00	Asian	9.0	345	1/10	394555	GOVERNOR_MIFFLIN_SR_HIG	780.0	730.0		yes	211.0808049059080000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1510		1510	0.00	1.00
795	0	1	U4	0.00	white				471395	MCLEAN_HIGH_SCHOOL	640.0	670.0		yes	181.3195510319920000	VA	0	0.00	0.00	0.00	0.00	0.00	0.00	1310		1310	0.00	0.00
797	1	0		0.00	white	13.0	193	1/10	391755	YOUGH_SENIOR_HIGH_SCHOO	590.0	470.0		no	19.3441356824273000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1060		1060	0.00	1.00
798	0	0		1.00	white	15.0	190	1/10	390700	MCGUFFEY_HIGH_SCHOOL	510.0	510.0		no	31.0926312657833000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1020		1020	0.00	1.00
799	0	0		1.00	white	28.0	152	1/5	395135	WELLSBORO_AREA_HIGH_SCH	620.0	510.0		no	164.4280816847660000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	1.00
801	1	1	U1	0.00	white	27.0	144	1/5	391390	FLEETWOOD_AREA_HIGH_SCH	660.0	650.0		yes	219.8058941948790000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1310		1310	0.00	1.00
804	0	0		0.00	white	52.0	106	3/5	335165	MYNDERSE_ACADEMY	580.0	520.0		no	236.1286285883480000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	0.00
818	0	0		1.00	black				390295	CONESTOGA_HIGH_SCHOOL	620.0	550.0		no	241.6566057834700000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	1.00
823	0	0		0.00	white	71.0	226	2/5	394131	ARCHBISHOP_CARROLL_HIGH	550.0	490.0		no	244.9011576320650000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1040		1040	0.00	1.00
824	0	0		0.00	white	44.0	397	1/5	393752	NORTH_HILLS_HIGH_SCHOOL	560.0	590.0		no	7.1373178035306800	PA	2	0.00	1.00	0.00	0.00	0.00	1.00	1150		1150	0.00	1.00
825	0	0		1.00	black				051730	NOTRE_DAME_ACADEMY	490.0	530.0	22.0	no	2141.6099106634300000	CA	0	0.00	0.00	0.00	0.00	0.00	0.00	1020	1030	1030	0.00	0.00
827	0	0		0.00	white	164.0	386	3/5	395164	EAST_SENIOR_HIGH_SCHOOL	590.0	560.0		no	235.1172132084430000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1150		1150	0.00	1.00
835	0	0		1.00	white	70.0	265	2/5	411033	HILTON_HEAD_HIGH_SCHOOL	590.0	510.0		no	569.8163882776300000	SC	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	0.00
836	1	0		1.00	white	87.0	199	3/5	391765	HERSHEY_HIGH_SCHOOL	550.0	540.0		no	174.3811050922920000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	1.00
838	0	1	IC	0.00	Asian	1.0	569	1/10	143345	PALATINE_HIGH_SCHOOL			30.0	yes	435.3421720789740000	IL	0	0.00	0.00	0.00	0.00	0.00	0.00		1340	1340	0.00	0.00
839	0	0		0.00	white	133.0	421	2/5	220842	FRAMINGHAM_HIGH_SCHOOL	660.0	610.0		no	460.7443141466870000	MA	0	0.00	0.00	0.00	0.00	0.00	0.00	1270		1270	0.00	0.00
843	1	0		0.00	white	5.0	78	1/10	392515	STO_ROX_JR_SR_HIGH_SCHO	450.0	490.0		no	7.2703991305767000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	940		940	0.00	1.00
850	0	1	HT	0.00	white				310001	NORTHERN_HIGHLANDS_REG	760.0	650.0		yes	307.6921089393730000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1410		1410	0.00	0.00
851	0	1	C6	0.00	white	19.0	586	1/10	333310	NEWBURGH_FREE_ACADEMY	700.0	800.0		yes	316.1258911817790000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1500		1500	0.00	0.00
857	0	0		0.00	white	96.0	245	2/5	390042	HOPEWELL_SENIOR_HIGH_SC	520.0	510.0		no	20.4799746130702000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1030		1030	0.00	1.00
859	1	0		0.00	white	57.0	137	3/5	394567	TRINITY_HIGH_SCHOOL	610.0	650.0		no	160.1275284422870000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1260		1260	0.00	1.00
860	0	0		0.00	white	61.0	309	1/5	390930	DALLASTOWN_AREA_HIGH_SC	700.0	540.0		no	176.3040126014430000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1240		1240	0.00	1.00
869	0	0		1.00	white	40.0	252	1/5	390675	ABINGTON_HEIGHTS_HIGH_S	630.0	590.0		no	233.3406290350950000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1220		1220	0.00	1.00
874	1	0		1.00	white	33.0	262	1/5	395060	TRINITY_HIGH_SCHOOL	480.0	490.0		no	24.6382874659081000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	970		970	0.00	1.00
878	0	0		1.00	Asian				210690	LAUREL_HIGH_SCHOOL	570.0	550.0		no	190.6208212669020000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	0.00
879	0	0		0.00	white	105.0	400	2/5	335955	WHITE_PLAINS_HIGH_SCHOO	670.0	560.0		no	326.3251198079500000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1230		1230	0.00	0.00
880	0	0		0.00	Asian				310283	EAST_BRUNSWICK_HIGH_SCH	600.0	570.0		no	292.0481601549650000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	0.00
885	0	0		0.00	white	100.0	254	2/5	392635	DELAWARE_VALLEY_HIGH_SC	620.0	430.0		no	272.0869765539370000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1050		1050	0.00	1.00
895	0	0		1.00	white	40.0	253	1/5	331385	CLARENCE_CENTRAL_HIGH_S	580.0	520.0	20.0	no	188.6093544075930000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1100	950	1100	0.00	0.00
898	1	0		0.00	white	131.0	516	2/5	393125	PARKLAND_HIGH_SCHOOL	630.0	660.0		no	228.1349440250830000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1290		1290	0.00	1.00
899	0	0		1.00	white	124.0	906	1/5	392985	COUNCIL_ROCK_HIGH_SCHOO	550.0	560.0		no	261.5405209521710000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1110		1110	0.00	1.00
900	0	1	HT	0.00	white	19.0	330	1/10	335730	VESTAL_SENIOR_HIGH_SCHO	790.0	760.0		yes	234.0442888259350000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1550		1550	0.00	0.00
903	0	1	U2	1.00	Asian	4.0	300	1/10	391646	CENTRAL_DAUPHIN_EAST_SR	620.0	580.0		yes	163.3167428497650000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
905	0	1	U1	0.00	white				394080	HILL_SCHOOL_THE	630.0	630.0		yes	227.8990995902790000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1260		1260	0.00	1.00
906	0	1	U2	1.00	black	69.0	175	2/5	310710	LODI_HIGH_SCHOOL	510.0	550.0		yes	309.4350933370130000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1060		1060	0.00	0.00
913	0	0		1.00	white				310815	MONTCLAIR_KIMBERLEY_ACA	560.0	530.0		no	302.7964782376530000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	0.00
919	0	1	C4	1.00	white	22.0	484	1/10	390020	WILLIAM_ALLEN_HIGH_SCHO	600.0	680.0		yes	233.2633274449490000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1280		1280	0.00	1.00
920	1	0		1.00	white	21.0	290	1/10	210079	EASTERN_TECHNICAL_HIGH	520.0	550.0		no	202.7309611508890000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1070		1070	0.00	0.00
927	0	0		0.00	white				210592	GLENELG_COUNTRY_SCHOOL	630.0	520.0		no	184.1764731406670000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1150		1150	0.00	0.00
932	0	0		1.00	Asian	125.0	825	1/5	392155	NORTH_PENN_HIGH_SCHOOL	560.0	490.0		no	245.6919712777210000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1050		1050	0.00	1.00
933	1	0		0.00	white	136.0	443	2/5	391045	CENTRAL_BUCKS_HIGH_SCHO	680.0	660.0		no	254.3130911760230000	PA	1	0.00	1.00	0.00	0.00	0.00	0.00	1340		1340	0.00	1.00
939	0	1	U4	0.00	Asian	111.0	798	1/5	050563	RUBEN_S_AYALA_SR_HIGH_S	640.0	560.0		no	2111.7181260077800000	CA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	0.00
941	0	0		0.00	white				393745	NORTH_ALLEGHENY_SR_HIGH	560.0	520.0	24.0	no	8.6184911845557500	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1080	1110	1110	0.00	1.00
952	0	1	U4	0.00	Asian				490217	GEORGE_WASHINGTON_HIGH	690.0	630.0	30.0	yes	169.8550051267280000	WV	0	0.00	0.00	0.00	0.00	0.00	0.00	1320	1340	1340	0.00	0.00
954	1	0		0.00	white	64.0	310	1/5	390855	CEDAR_CREST_HIGH_SCHOOL	610.0	500.0		no	155.1968347692790000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	1.00
961	0	1	C4	0.00	white	28.0	346	1/10	394040	PLYMOUTH_WHITEMARSH_HIG	710.0	670.0		yes	247.7716494539700000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1380		1380	0.00	1.00
966	1	0		0.00	white	81.0	223	2/5	364810	STEUBENVILLE_HIGH_SCHOO	640.0	550.0	23.0	no	37.5651476006504000	OH	2	1.00	0.00	0.00	0.00	0.00	1.00	1190	1070	1190	0.00	0.00
968	0	0		1.00	black	42.0	174	2/5	393550	WEST_PHILADELPHIA_CATHO	460.0	490.0		no	254.5027710829320000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	950		950	0.00	1.00
969	0	0		0.00	white				310787	JOHN_P_STEVENS_HIGH_SCH	650.0	580.0		no	294.3649949249400000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1230		1230	0.00	0.00
970	0	0		0.00	white				334515	TAPPAN_ZEE_HIGH_SCHOOL	600.0	520.0		no	316.7690205596330000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	0.00
972	0	0		0.00	white	54.0	223	2/5	393655	CENTRAL_CATHOLIC_HIGH_S	560.0	570.0		no	10.1671664979385000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	1.00
974	0	0		0.00	Asian	71.0	427	1/5	390038	LOUIS_E_DIERUFF_HIGH_SC	590.0	470.0		no	236.2908788587050000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1060		1060	0.00	1.00
980	0	0		0.00	white	57.0	206	2/5	390830	SOUTHERN_LEHIGH_HIGH_SC	570.0	550.0	22.0	no	240.2451040393700000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1120	1030	1120	0.00	1.00
981	1	0		0.00	black	296.0	451	4/5	310761	CHEROKEE_HIGH_SCHOOL	590.0	500.0		no	269.5734498992110000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1090		1090	0.00	0.00
984	1	0		0.00	white	59.0	170	2/5	392693	CENTER_HIGH_SCHOOL	500.0	520.0		no	20.4799746130702000	PA	3	0.00	1.00	1.00	0.00	0.00	1.00	1020		1020	0.00	1.00
992	1	0		1.00	not_indicated	61.0	151	2/5	391365	FAIRVIEW_HIGH_SCHOOL	670.0	640.0	26.0	no	111.4579565233630000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1310	1190	1310	0.00	1.00
998	0	0		1.00	white	32.0	129	2/5	393908	SETON_LA_SALLE_HIGH_SCH	490.0	570.0		no	4.8050255581138300	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1060		1060	0.00	1.00
1001	0	0		0.00	white	101.0	617	1/5	394965	UPPER_DARBY_HIGH_SCHOOL	600.0	560.0		no	248.0733471290580000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1160		1160	0.00	1.00
1006	1	0		1.00	white	106.0	251	3/5	392735	MONTOUR_HIGH_SCHOOL	550.0	510.0		no	7.2703991305767000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1060		1060	0.00	1.00
1011	0	1	U6	0.00	white	124.0	591	2/5	152347	PENN_HIGH_SCHOOL	690.0	740.0		yes	334.7074839855950000	IN	0	0.00	0.00	0.00	0.00	0.00	0.00	1430		1430	0.00	0.00
1016	0	0		0.00	white	84.0	292	2/5	392287	PENNCREST_HIGH_SCHOOL	650.0	510.0		no	243.0447438846680000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1160		1160	0.00	1.00
1022	1	1	U1	1.00	white	23.0	275	1/10	392170	GREATER_LATROBE_SR_HIGH	670.0	620.0		yes	30.5224448197847000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1290		1290	0.00	1.00
1023	0	0		0.00	white	131.0	292	3/5	392287	PENNCREST_HIGH_SCHOOL	560.0	520.0		no	243.0447438846680000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1080		1080	0.00	1.00
1024	0	1	U1	1.00	American_Indian	1.0	118	1/10	391520	GIRARD_HIGH_SCHOOL	630.0	510.0	22.0	yes	110.8755509688160000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140	1030	1140	0.00	1.00
1025	0	1	U4	1.00	black	87.0	359	2/5	310460	HACKENSACK_HIGH_SCHOOL	560.0	620.0		no	311.2373585628830000	NJ	0	0.00	0.00	0.00	0.00	0.00	0.00	1180		1180	0.00	0.00
1026	0	0		0.00	white	72.0	116	4/5	390303	LOWER_MORELAND_HIGH_SCH	560.0	480.0		no	259.1858170260490000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1040		1040	0.00	1.00
1029	0	0		0.00	white	328.0	540	4/5	393125	PARKLAND_HIGH_SCHOOL	620.0	550.0		no	236.2908788587050000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	1.00
1035	1	0		1.00	Asian	17.0	552	1/10	394170	READING_SENIOR_HIGH_SCH	470.0	450.0		no	212.7254588342340000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	920		920	0.00	1.00
1037	0	0		0.00	Hispanic	110.0	208	3/5	334145	XAVIER_HIGH_SCHOOL	590.0	570.0		no	319.5265047505760000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1160		1160	0.00	0.00
1042	1	0		1.00	Asian				393745	NORTH_ALLEGHENY_SR_HIGH	610.0	530.0		no	8.6184911845557500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1140		1140	0.00	1.00
1043	0	0		0.00	white	119.0	320	2/5	391265	EPHRATA_SENIOR_HIGH_SCH	600.0	600.0		no	199.8258031516170000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
1045	0	0		0.00	not_indicated	106.0	229	3/5	393405	NORTHEAST_CATHOLIC_HIGH	510.0	600.0		no	257.5655415255090000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110		1110	0.00	1.00
1047	0	0		0.00	not_indicated				395230	WESTTOWN_SCHOOL	540.0	590.0	28.0	no	147.5629160552880000	PA	2	0.00	1.00	0.00	0.00	0.00	1.00	1130	1260	1260	0.00	1.00
1048	0	0		0.00	white	57.0	157	2/5	392100	LANCASTER_CATHOLIC_HIGH	580.0	500.0		no	199.8258031516170000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1080		1080	0.00	1.00
1055	0	1	C4	0.00	Hispanic	3.0	126	1/10	392050	PEQUEA_VALLEY_HIGH_SCHO	640.0	770.0		yes	208.4410742014980000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1410		1410	0.00	1.00
1057	1	0		1.00	white	7.0	79	1/10	390663	CLARION_AREA_JR_SR_HIGH	510.0	590.0		no	61.1445274453260000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1100		1100	0.00	1.00
1059	1	0		1.00	Asian	166.0	325	3/5	395190	WILSON_HIGH_SCHOOL	520.0	560.0		no	207.2759627434000000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1080		1080	0.00	1.00
1060	0	0		0.00	white	92.0	247	2/5	311492	NOTRE_DAME_HIGH_SCHOOL	600.0	610.0		no	271.0743839753350000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1210		1210	0.00	1.00
1062	0	1	U4	1.00	black				330630	BROOKLYN_TECHNICAL_HIGH	580.0	540.0		no	318.3339041460680000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	0.00
1069	1	0		1.00	white	151.0	380	2/5	393752	NORTH_HILLS_HIGH_SCHOOL	540.0	490.0		no	3.5457302594017400	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1030		1030	0.00	1.00
1084	0	1	U2	0.00	white				490935	NITRO_HIGH_SCHOOL	690.0	590.0	25.0	yes	169.8550051267280000	WV	0	0.00	0.00	0.00	0.00	0.00	0.00	1280	1150	1280	0.00	0.00
1088	1	0		0.00	white				394133	RADNOR_HIGH_SCHOOL	720.0	590.0		no	245.9193909284000000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1310		1310	0.00	1.00
1102	0	0		0.00	white	69.0	223	2/5	161215	ROOSEVELT_HIGH_SCHOOL	560.0	540.0	24.0	no	719.5187450393120000	IA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100	1110	1110	0.00	0.00
1103	0	0		0.00	white				393745	NORTH_ALLEGHENY_SR_HIGH	520.0	480.0		no	8.6184911845557500	PA	1	0.00	1.00	0.00	0.00	0.00	0.00	1000		1000	0.00	1.00
1105	1	0		1.00	white				393708	HILLEL_ACADEMY_OF_PITTS	530.0	580.0	27.0	no	1.7545982345399600	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1110	1220	1220	0.00	1.00
1108	1	1	U1	0.00	white	53.0	261	1/5	391510	GETTYSBURG_AREA_SR_HIGH	680.0	780.0		yes	150.5370376046940000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1460		1460	0.00	1.00
1111	0	0		1.00	white	22.0	324	1/10	393020	NORRISTOWN_AREA_HIGH_SC	550.0	580.0		no	241.9643927459280000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	1.00
1114	0	0		0.00	white	58.0	206	2/5	390830	SOUTHERN_LEHIGH_HIGH_SC	550.0	510.0		no	234.3389194851920000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1060		1060	0.00	1.00
1119	0	1	U2	0.00	white	9.0	223	1/10	393655	CENTRAL_CATHOLIC_HIGH_S	690.0	610.0		yes	2.5406151562594100	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1300		1300	0.00	1.00
1122	1	0		0.00	white	53.0	150	2/5	392960	VALLEY_HIGH_SCHOOL	650.0	610.0		no	14.2505244339505000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1260		1260	0.00	1.00
1123	1	0		1.00	white	18.0	132	1/5	390590	CATASAUQUA_HIGH_SCHOOL	580.0	580.0		no	236.1652857239250000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1160		1160	0.00	1.00
1125	0	1	U2	0.00	Asian	23.0	501	1/10	393275	CENTRAL_HIGH_SCHOOL	690.0	590.0		yes	253.5509882026910000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1280		1280	0.00	1.00
1126	1	0		1.00	white	128.0	278	3/5	392835	FRANKLIN_REGIONAL_SR_HI	580.0	470.0		no	18.1255544409387000	PA	2	1.00	0.00	0.00	1.00	0.00	0.00	1050		1050	0.00	1.00
1130	1	0		1.00	white	79.0	235	2/5	390840	MOON_AREA_HIGH_SCHOOL	530.0	570.0		no	13.2796585170983000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1100		1100	0.00	1.00
1131	1	0		0.00	white	25.0	107	2/5	390570	CARLYNTON_JR_SR_HIGH_SC	520.0	550.0	25.0	no	7.7511022455069100	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1070	1150	1150	0.00	1.00
1132	1	1	RL	0.00	black				210597	ELEANOR_ROOSEVELT_HIGH	640.0	580.0		no	196.7100844597180000	MD	0	0.00	0.00	0.00	0.00	0.00	0.00	1220		1220	0.00	0.00
1133	0	1	U1	0.00	black	45.0	446	1/10	393763	PENN_HILLS_SENIOR_HIGH	650.0	520.0		no	7.1621335385584500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1170		1170	0.00	1.00
1134	0	0		1.00	white	53.0	132	2/5	392220	QUAKER_VALLEY_SR_HIGH_S	600.0	510.0		no	13.2630784242623000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1110		1110	0.00	1.00
1136	1	0		1.00	white	199.0	593	2/5	390500	BUTLER_AREA_SR_HIGH_SCH	550.0	490.0	22.0	no	29.0664287961545000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1040	1030	1040	0.00	1.00
1145	0	1	U6	0.00	white				100251	INTERNATIONAL_BACCALAUR	800.0	660.0		yes	882.8309964267150000	FL	0	0.00	0.00	0.00	0.00	0.00	0.00	1460		1460	0.00	0.00
1150	0	0		1.00	white	139.0	495	2/5	390488	CENTRAL_BUCKS_HIGH_SCHO	650.0	550.0		no	256.4030779426410000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1200		1200	0.00	1.00
1151	0	0		1.00	white	61.0	252	2/5	150600	COLUMBIA_CITY_HIGH_SCHO	530.0	600.0		no	293.1753949038160000	IN	0	0.00	0.00	0.00	0.00	0.00	0.00	1130		1130	0.00	0.00
1152	1	0		0.00	black	56.0	96	3/5	391760	MILTON_HERSHEY_SCHOOL	600.0	450.0		no	253.2430844896200000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1050		1050	0.00	1.00
1155	1	0		0.00	white				333000	RYE_NECK_HIGH_SCHOOL	490.0	520.0		no	327.9815732006490000	NY	0	0.00	0.00	0.00	0.00	0.00	0.00	1010		1010	0.00	0.00
1160	1	0		0.00	white	49.0	143	2/5	364530	SAINT_CLAIRSVILLE_HIGH	590.0	500.0	24.0	no	55.8934233181101000	OH	0	0.00	0.00	0.00	0.00	0.00	0.00	1090	1110	1110	0.00	0.00
1163	0	0		0.00	white	18.0	70	2/5	394367	SALTSBURG_JR_SR_HIGH_SC	470.0	550.0		no	27.0355800399242000	PA	1	0.00	0.00	0.00	0.00	0.00	1.00	1020		1020	0.00	1.00
1165	0	0		0.00	white	74.0	215	2/5	390655	THOMAS_JEFFERSON_HIGH_S	550.0	570.0	24.0	no	6.9137346122598500	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1120	1110	1120	0.00	1.00
1166	0	0		1.00	black				390485	SHIPLEY_SCHOOL_THE	560.0	560.0		no	251.6268743229220000	PA	0	0.00	0.00	0.00	0.00	0.00	0.00	1120		1120	0.00	1.00
