Date,ZM,TSLA,log_zm,log_return
4/18/2019,62.0,54.652,4.127134385045092,
4/22/2019,65.699997,52.549999,4.185098879828463,0.057964494783371734
4/23/2019,69.0,52.779999,4.23410650459726,0.049007624768796276
4/24/2019,63.200001,51.731998,4.146304316975597,-0.08780218762166303
4/25/2019,65.0,49.526001,4.174387269895637,0.02808295292004015
4/26/2019,66.220001,47.028,4.192982547220278,0.018595277324640946
4/29/2019,68.16999799999999,48.293999,4.222004556036275,0.029022008815997147
4/30/2019,72.470001,47.737999,4.283172696920003,0.06116814088372813
5/1/2019,72.760002,46.801998,4.287166381137552,0.003993684217548754
5/2/2019,75.5,48.82,4.324132656254979,0.036966275117427116
5/3/2019,79.18,51.006001,4.371723741677985,0.04759108542300616
5/6/2019,78.239998,51.068001,4.3597810001641895,-0.011942741513795596
5/7/2019,73.33000200000001,49.411999,4.294969829379675,-0.06481117078451426
5/8/2019,77.68,48.967999,4.35259782398307,0.057627994603394406
5/9/2019,75.209999,48.396,4.3202841875422076,-0.03231363644086205
5/10/2019,79.629997,47.903999,4.37739086859511,0.057106681052902175
5/13/2019,72.540001,45.402,4.284138147640254,-0.09325272095485548
5/14/2019,73.139999,46.462002000000005,4.292375399048826,0.008237251408571566
5/15/2019,79.760002,46.389998999999996,4.379022150728808,0.08664675167998226
5/16/2019,83.400002,45.666000000000004,4.4236483333455165,0.044626182616708476
5/17/2019,89.980003,42.206001,4.499587456753768,0.0759391234082516
5/20/2019,84.66999799999999,41.071999,4.438761324033068,-0.06082613272069981
5/21/2019,85.440002,41.015999,4.447814398620125,0.009053074587056287
5/22/2019,82.43,38.546001000000004,4.411949448325136,-0.035864950294988596
5/23/2019,78.760002,39.098,4.366405279164526,-0.04554416916061044
5/24/2019,76.25,38.125999,4.334017415487521,-0.032387863677004525
5/28/2019,77.769997,37.740002000000004,4.353755714131565,0.019738298644043972
5/29/2019,75.769997,37.972,4.327702396349775,-0.02605331778179032
5/30/2019,80.41999799999999,37.644001,4.387262876599692,0.05956048024991745
5/31/2019,79.730003,37.032001,4.378645964141395,-0.008616912458297321
6/3/2019,75.900002,35.793999,4.329416710752045,-0.049229253389349914
6/4/2019,78.739998,38.720001,4.36615126011554,0.036734549363495184
6/5/2019,78.040001,39.318001,4.357221528568852,-0.008929731546688302
6/6/2019,79.43,41.189999,4.374876130645041,0.017654602076189185
6/7/2019,94.050003,40.900002,4.543826587644966,0.16895045699992473
6/10/2019,102.0,42.576,4.624972813284271,0.08114622563930496
6/11/2019,94.870003,43.419998,4.552507565027005,-0.07246524825726564
